entity_count	config_json	config_linkml_runtime_version	config_entity_counts	config_working_directory	create_object_event_duration	create_object_event_start	create_object_event_end	json_dump_event_duration	json_dump_event_start	json_dump_event_end	json_load_event_duration	json_load_event_start	json_load_event_end	yaml_dump_event_duration	yaml_dump_event_start	yaml_dump_event_end	yaml_load_event_duration	yaml_load_event_start	yaml_load_event_end	rdf_dump_event_duration	rdf_dump_event_start	rdf_dump_event_end	rdf_load_event_duration	rdf_load_event_start	rdf_load_event_end	to_dict_event_duration	to_dict_event_start	to_dict_event_end	plain_yaml_dump_event_duration	plain_yaml_dump_event_start	plain_yaml_dump_event_end	plain_yaml_load_event_duration	plain_yaml_load_event_start	plain_yaml_load_event_end	plain_json_dump_event_duration	plain_json_dump_event_start	plain_json_dump_event_end	plain_json_load_event_duration	plain_json_load_event_start	plain_json_load_event_end
10	{\"linkml_runtime_version\": \"1.2.2\", \"entity_counts\": [10, 100, 1000, 10000], \"working_directory\": \"tmp\"}	1.2.2	[10|100|1000|10000]	tmp	0.0004711151123046875	1647897924.155828	1647897924.156299	0.0014829635620117188	1647897924.156342	1647897924.157825	0.0010859966278076172	1647897924.15783	1647897924.158916	0.010264158248901367	1647897924.158918	1647897924.169182	0.016611814498901367	1647897924.169187	1647897924.185799	0.5711758136749268	1647897924.185801	1647897924.7569768	0.02346491813659668	1647897924.756984	1647897924.780449	0.0014698505401611328	1647897924.7804532	1647897924.781923	0.008663177490234375	1647897924.7824798	1647897924.791143	0.02530193328857422	1647897924.791147	1647897924.816449	0.0004222393035888672	1647897924.7819269	1647897924.782349	0.0001251697540283203	1647897924.782352	1647897924.7824771
100	{\"linkml_runtime_version\": \"1.2.2\", \"entity_counts\": [10, 100, 1000, 10000], \"working_directory\": \"tmp\"}	1.2.2	[10|100|1000|10000]	tmp	0.004261970520019531	1647897924.816504	1647897924.820766	0.010411977767944336	1647897924.820797	1647897924.831209	0.008803129196166992	1647897924.8312168	1647897924.84002	0.09151697158813477	1647897924.840023	1647897924.93154	0.17124009132385254	1647897924.931547	1647897925.102787	0.2308199405670166	1647897925.102792	1647897925.333612	0.17742109298706055	1647897925.333618	1647897925.511039	0.008581876754760742	1647897925.511043	1647897925.519625	0.1101078987121582	1647897925.523874	1647897925.633982	0.17740797996520996	1647897925.6339898	1647897925.8113978	0.0026509761810302734	1647897925.519629	1647897925.52228	0.0015790462493896484	1647897925.522283	1647897925.5238621
1000	{\"linkml_runtime_version\": \"1.2.2\", \"entity_counts\": [10, 100, 1000, 10000], \"working_directory\": \"tmp\"}	1.2.2	[10|100|1000|10000]	tmp	0.03667116165161133	1647897925.811745	1647897925.848416	0.08517718315124512	1647897925.848456	1647897925.933633	0.07411408424377441	1647897925.933641	1647897926.007755	0.9102590084075928	1647897926.007759	1647897926.918018	1.8953452110290527	1647897926.918025	1647897928.8133702	2.4398369789123535	1647897928.813376	1647897931.253213	2.1359660625457764	1647897931.25322	1647897933.3891861	0.09679412841796875	1647897933.389194	1647897933.4859881	0.906829833984375	1647897933.5156522	1647897934.422482	1.768657922744751	1647897934.4224892	1647897936.191147	0.025200843811035156	1647897933.485996	1647897933.5111969	0.0044400691986083984	1647897933.511206	1647897933.515646
10000	{\"linkml_runtime_version\": \"1.2.2\", \"entity_counts\": [10, 100, 1000, 10000], \"working_directory\": \"tmp\"}	1.2.2	[10|100|1000|10000]	tmp	0.4227149486541748	1647897936.195651	1647897936.618366	0.8745589256286621	1647897936.6184142	1647897937.492973	0.8840489387512207	1647897937.492982	1647897938.3770308	9.714874982833862	1647897938.377035	1647897948.09191	21.051961183547974	1647897948.0919209	1647897969.143882	25.97964310646057	1647897969.143892	1647897995.1235352	23.016898155212402	1647897995.12355	1647898018.140448	0.9552168846130371	1647898018.14046	1647898019.095677	9.711402893066406	1647898019.395713	1647898029.107116	18.94289469718933	1647898029.1071281	1647898048.0500228	0.26210498809814453	1647898019.095689	1647898019.357794	0.03789997100830078	1647898019.357803	1647898019.395703
