entity_count	config_json	config_linkml_runtime_version	config_entity_counts	config_working_directory	create_object_event_duration	create_object_event_start	create_object_event_end	json_dump_event_duration	json_dump_event_start	json_dump_event_end	json_load_event_duration	json_load_event_start	json_load_event_end	yaml_dump_event_duration	yaml_dump_event_start	yaml_dump_event_end	yaml_load_event_duration	yaml_load_event_start	yaml_load_event_end	rdf_dump_event_duration	rdf_dump_event_start	rdf_dump_event_end	rdf_load_event_duration	rdf_load_event_start	rdf_load_event_end	to_dict_event_duration	to_dict_event_start	to_dict_event_end	plain_yaml_dump_event_duration	plain_yaml_dump_event_start	plain_yaml_dump_event_end	plain_yaml_load_event_duration	plain_yaml_load_event_start	plain_yaml_load_event_end	plain_json_dump_event_duration	plain_json_dump_event_start	plain_json_dump_event_end	plain_json_load_event_duration	plain_json_load_event_start	plain_json_load_event_end
100	{\"linkml_runtime_version\": \"1.2.2\", \"entity_counts\": [100, 1000, 10000, 100000], \"working_directory\": \"tmp\"}	1.2.2	[100|1000|10000|100000]	tmp	0.0063588619232177734	1647825906.576807	1647825906.583166	0.01376199722290039	1647825906.583657	1647825906.597419	0.009980201721191406	1647825906.597437	1647825906.607417	0.10739612579345703	1647825906.6074219	1647825906.714818	0.20667386054992676	1647825906.714825	1647825906.9214988	0.9645090103149414	1647825906.921504	1647825907.886013	0.23578524589538574	1647825907.8860219	1647825908.121807	0.008890151977539062	1647825908.121811	1647825908.130701	0.08414602279663086	1647825908.134336	1647825908.218482	0.20305204391479492	1647825908.2184908	1647825908.421543	0.0027141571044921875	1647825908.1307049	1647825908.133419	0.0009031295776367188	1647825908.133425	1647825908.1343281
1000	{\"linkml_runtime_version\": \"1.2.2\", \"entity_counts\": [100, 1000, 10000, 100000], \"working_directory\": \"tmp\"}	1.2.2	[100|1000|10000|100000]	tmp	0.043005943298339844	1647825908.4219189	1647825908.4649248	0.10038495063781738	1647825908.465199	1647825908.565584	0.12470197677612305	1647825908.5655942	1647825908.6902962	1.0897531509399414	1647825908.690301	1647825909.780054	2.5182931423187256	1647825909.780063	1647825912.298356	5.53233003616333	1647825912.2983758	1647825917.830706	2.779521942138672	1647825917.830724	1647825920.610246	0.10667085647583008	1647825920.610255	1647825920.7169259	0.899263858795166	1647825920.753313	1647825921.652577	2.1002891063690186	1647825921.652586	1647825923.752875	0.03201580047607422	1647825920.716942	1647825920.7489579	0.004335165023803711	1647825920.74897	1647825920.7533052
10000	{\"linkml_runtime_version\": \"1.2.2\", \"entity_counts\": [100, 1000, 10000, 100000], \"working_directory\": \"tmp\"}	1.2.2	[100|1000|10000|100000]	tmp	0.5118808746337891	1647825923.7576	1647825924.269481	1.0487539768218994	1647825924.269691	1647825925.318445	0.9938898086547852	1647825925.318458	1647825926.312348	12.868190050125122	1647825926.3123698	1647825939.1805599	24.967973709106445	1647825939.1806211	1647825964.1485949	28.27786612510681	1647825964.148615	1647825992.426481	24.554882049560547	1647825992.426497	1647826016.981379	1.0076990127563477	1647826016.9814	1647826017.989099	10.807371139526367	1647826018.323884	1647826029.1312551	21.915714979171753	1647826029.131266	1647826051.046981	0.29802393913269043	1647826017.9891121	1647826018.287136	0.036726951599121094	1647826018.287146	1647826018.323873
100000	{\"linkml_runtime_version\": \"1.2.2\", \"entity_counts\": [100, 1000, 10000, 100000], \"working_directory\": \"tmp\"}	1.2.2	[100|1000|10000|100000]	tmp	4.973986864089966	1647826051.113923	1647826056.08791	10.03948187828064	1647826056.088161	1647826066.1276429	9.084903955459595	1647826066.127656	1647826075.21256	105.80948090553284	1647826075.212578	1647826181.022059	219.98832488059998	1647826181.022072	1647826401.010397	298.8920748233795	1647826401.010416	1647826699.9024909	262.98438024520874	1647826699.902504	1647826962.8868842	10.180250883102417	1647826962.8869052	1647826973.067156	115.00437188148499	1647826976.403069	1647827091.407441	211.83891892433167	1647827091.407455	1647827303.246374	2.895066976547241	1647826973.067172	1647826975.962239	0.44080424308776855	1647826975.962251	1647826976.4030552
